request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,635.69,affordable_with_plan,partial_payment,2025-02-03:635.69|2025-02-15:245.87,2025-02-15,none,"Pay USD 635.69 today and the remaining USD 245.87 on 2025-02-15. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,12901.63,affordable_later,wait,none,2026-06-15,none,"Pay ZAR 61,446.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
request_58,14944202.71,affordable_with_plan,full_payment,2024-12-07:16226000.00,2024-12-07,stop:event_5358,"Apply spending changes (stop:event_5358), then pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available over the next 90 days."
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use installments to pay INR 140,600.00. This keeps the INR 132,600.00 minimum protected throughout the payment period."
request_60,154.53,affordable_later,wait,none,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400.00 minimum.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use installments to pay ZAR 29,062.00. This keeps the ZAR 36,700.00 minimum protected throughout the payment period."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_63,37457.14,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 153,500.00 minimum protected."
request_64,44962.92,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,"Use installments to pay INR 63,700.00. This keeps the INR 36,100.00 minimum protected throughout the payment period."
request_65,5850.39,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available over the next 90 days."
request_67,302.26,affordable_later,wait,none,2024-11-15,none,"Pay USD 2,094.00 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1447.64,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use installments to pay USD 2,091.60. This keeps the USD 1,500.00 minimum protected throughout the payment period."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,50373.61,affordable_later,wait,none,2025-02-15,none,"Pay INR 243,900.00 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,222360.34,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,11330.00,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200.00 available over the next 90 days."
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available over the next 90 days."
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use installments to pay ZAR 28,270.00. This keeps the ZAR 39,000.00 minimum protected throughout the payment period."
request_76,835.82,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,59872.82,affordable_later,wait,none,2025-11-15,none,"Pay INR 60,700.00 in full on 2025-11-15. Paying earlier would take the balance below the INR 82,200.00 minimum."
request_78,45860.99,affordable_later,wait,none,2025-10-15,none,"Pay INR 50,200.00 in full on 2025-10-15. Paying earlier would take the balance below the INR 55,200.00 minimum."
request_79,699.04,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,94023.08,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.00,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available over the next 90 days."
request_82,391.55,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,100.00 minimum protected."
request_83,12204.26,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,32327.66,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 91,300.00 minimum protected."
request_85,367767.97,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300.00,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,16803.38,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,10734.00,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use installments to pay ZAR 26,092.00. This keeps the ZAR 25,800.00 minimum protected throughout the payment period."
request_89,9324615.66,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 12,534,700.00 minimum protected."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,457.61,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 2,100.00 minimum protected."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available over the next 90 days.
request_95,34600.65,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,72506.46,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 56,500.00 minimum protected."
request_97,1454.36,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use installments to pay ZAR 23,496.00. This keeps the ZAR 29,700.00 minimum protected throughout the payment period."
request_98,6618.47,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 30,000.00 minimum protected."
request_99,17497.76,affordable_with_plan,full_payment,2026-07-04:18062.00,2026-07-15,reduce_to:event_9226:1065.90,"Apply spending changes (reduce_to:event_9226:1065.90), then pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available over the next 90 days."
request_100,26864.89,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use installments to pay ZAR 37,114.00. This keeps the ZAR 32,500.00 minimum protected throughout the payment period."
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use installments to pay EUR 1,716.00. This keeps the EUR 900.00 minimum protected throughout the payment period."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 125,500.00 minimum protected."
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available over the next 90 days."
request_105,51131.83,affordable_later,wait,none,2026-06-15,none,"Pay INR 53,500.00 in full on 2026-06-15. Paying earlier would take the balance below the INR 73,900.00 minimum."
request_106,459.88,affordable_later,wait,none,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,512.62,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,1754.06,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_109,469.55,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,700.00 minimum protected."
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use installments to pay ZAR 22,352.00. This keeps the ZAR 11,200.00 minimum protected throughout the payment period."
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available over the next 90 days.
request_113,19040.25,affordable_later,wait,none,2026-10-15,none,"Pay INR 36,500.00 in full on 2026-10-15. Paying earlier would take the balance below the INR 82,300.00 minimum."
request_114,55013.53,affordable_later,wait,none,2026-01-15,none,"Pay INR 65,300.00 in full on 2026-01-15. Paying earlier would take the balance below the INR 113,400.00 minimum."
request_115,14848.07,affordable_later,wait,none,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,9538.59,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,857.35,affordable_later,wait,none,2026-07-15,none,"Pay EUR 880.00 in full on 2026-07-15. Paying earlier would take the balance below the EUR 1,000.00 minimum."
request_118,649.91,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 600.00 minimum protected.
request_119,59015.02,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 151,200.00 minimum protected."
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use installments to pay IDR 20,558,000.00. This keeps the IDR 12,588,500.00 minimum protected throughout the payment period."
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,1402.01,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,600.00 minimum protected."
request_125,5733.10,affordable_later,wait,none,2025-11-15,none,"Pay ZAR 6,468.00 in full on 2025-11-15. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700.00 available over the next 90 days."
request_127,7377.01,affordable_later,wait,none,2024-10-15,none,"Pay ZAR 23,980.00 in full on 2024-10-15. Paying earlier would take the balance below the ZAR 41,000.00 minimum."
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,113.97,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the USD 800.00 minimum protected.
request_130,364.72,affordable_later,wait,none,2025-01-15,none,"Pay USD 1,978.80 in full on 2025-01-15. Paying earlier would take the balance below the USD 1,400.00 minimum."
request_131,1355.09,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use installments to pay USD 1,855.20. This keeps the USD 1,100.00 minimum protected throughout the payment period."
request_132,265.65,affordable_later,wait,none,2026-01-15,none,"Pay USD 379.86 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_133,15770000.00,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,4451971.38,affordable_later,wait,none,2025-09-15,none,"Pay IDR 21,831,000.00 in full on 2025-09-15. Paying earlier would take the balance below the IDR 15,902,500.00 minimum."
request_135,284.76,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12447:17.50|stop:event_12413,"Apply spending changes (reduce_to:event_12447:17.50|stop:event_12413), then pay USD 304.80 today. This leaves at least USD 500.00 available over the next 90 days."
request_136,529.36,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12482:27.20,"Apply spending changes (reduce_to:event_12482:27.20), then pay USD 560.40 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_137,26148.15,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 71,800.00 minimum protected."
request_138,860.05,affordable_with_plan,partial_payment,2026-04-07:860.05|2026-04-15:396.89,2026-04-15,none,"Pay EUR 860.05 today and the remaining EUR 396.89 on 2026-04-15. This completes the full request and keeps the EUR 2,300.00 minimum protected."
request_139,1810.41,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use installments to pay USD 2,316.00. This keeps the USD 1,500.00 minimum protected throughout the payment period."
request_140,1425.81,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,23027.01,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available over the next 90 days."
request_143,2465.23,affordable_later,wait,none,2025-05-15,none,"Pay ZAR 12,584.00 in full on 2025-05-15. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.00 available over the next 90 days.
request_145,28335.57,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 155,400.00 minimum protected."
request_146,16093.17,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 108,600.00 minimum protected."
request_147,478.21,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use installments to pay EUR 1,129.70. This keeps the EUR 900.00 minimum protected throughout the payment period."
request_148,7120.37,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 20,000.00 minimum protected."
request_149,22537.14,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use installments to pay ZAR 36,652.00. This keeps the ZAR 42,100.00 minimum protected throughout the payment period."
request_150,256.48,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 700.00 minimum protected.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,11114.63,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 11,900.00 minimum protected."
request_153,8.58,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,1611.55,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,300.00 minimum protected."
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 56,300.00 available over the next 90 days."
request_156,9482.30,affordable_later,wait,none,2026-06-15,none,"Pay ZAR 43,076.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900.00 minimum."
request_157,4753445.22,affordable_later,wait,none,2024-04-15,none,"Pay IDR 23,503,000.00 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15,714,100.00 minimum."
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use installments to pay INR 242,600.00. This keeps the INR 131,400.00 minimum protected throughout the payment period."
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available over the next 90 days."
request_160,570.28,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use installments to pay EUR 1,246.30. This keeps the EUR 1,200.00 minimum protected throughout the payment period."
request_161,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,1123678.76,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,8739824.66,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 26,728,700.00 minimum protected."
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240.00|2025-03-11:9366240.00|2025-04-08:9366240.00,2025-02-04,none,"Use installments to pay IDR 27,018,000.00. This keeps the IDR 29,550,500.00 minimum protected throughout the payment period."
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available over the next 90 days."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use installments to pay USD 2,907.60. This keeps the USD 1,700.00 minimum protected throughout the payment period."
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,30941.36,affordable_with_plan,partial_payment,2026-01-07:30941.36|2026-02-15:18438.64,2026-02-15,none,"Pay INR 30,941.36 today and the remaining INR 18,438.64 on 2026-02-15. This completes the full request and keeps the INR 114,400.00 minimum protected."
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,"Pay ZAR 41,976.00 today. This leaves at least ZAR 18,700.00 available over the next 90 days."
request_170,30061352.58,affordable_with_plan,installments,2025-08-06:12804480.00|2025-09-03:12804480.00|2025-10-01:12804480.00,2025-09-15,none,"Use installments to pay IDR 36,936,000.00. This keeps the IDR 24,715,800.00 minimum protected throughout the payment period."
request_171,33.68,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 500.00 minimum protected.
request_172,9130.37,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-03:5304.00,2024-06-15,none,"Use installments to pay ZAR 10,200.00. This keeps the ZAR 27,200.00 minimum protected throughout the payment period."
request_173,59791.88,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,none,"Use installments to pay INR 113,000.00. This keeps the INR 79,100.00 minimum protected throughout the payment period."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use installments to pay EUR 1,146.20. This keeps the EUR 700.00 minimum protected throughout the payment period."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,350.11,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 600.00 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use installments to pay EUR 2,938.10. This keeps the EUR 1,400.00 minimum protected throughout the payment period."
request_179,6506134.08,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 41,430,800.00 minimum protected."
request_180,66500.00,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300.00 available over the next 90 days."
request_181,475.41,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 2,000.00 minimum protected."
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available over the next 90 days."
request_183,22993892.65,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 11,878,300.00 minimum protected."
request_184,7499.23,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 110,800.00 minimum protected."
request_185,310.34,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,300.00 minimum protected."
request_186,11431.95,affordable_later,wait,none,2026-02-15,none,"Pay ZAR 26,554.00 in full on 2026-02-15. Paying earlier would take the balance below the ZAR 22,000.00 minimum."
request_187,37750.93,affordable_later,wait,none,2024-11-15,none,"Pay INR 187,500.00 in full on 2024-11-15. Paying earlier would take the balance below the INR 128,300.00 minimum."
request_188,187.66,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 900.00 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,467.31,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,600.00 minimum protected."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
